## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
,,,,,,,,,,,,,,,,,,,
1,product 1,a,view product 1,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,10,http://adobedemo.azurewebsites.net/product/chair-red/,10,1.5,,,,,,,,,,,
2,product 2,b,view product 2,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,20,http://adobedemo.azurewebsites.net/product/chair-red/,11,1.5,,,,,,,,,,,
3,product 3,c,view product 3,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,30,http://adobedemo.azurewebsites.net/product/chair-red/,12,1.5,,,,,,,,,,,
4,product 4,a,view product 4,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,40,http://adobedemo.azurewebsites.net/product/chair-red/,13,1.5,,,,,,,,,,,
5,product 5,b,view product 5,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,50,http://adobedemo.azurewebsites.net/product/chair-red/,14,1.5,,,,,,,,,,,
6,product 6,c,view product 6,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,60,http://adobedemo.azurewebsites.net/product/chair-red/,15,1.5,,,,,,,,,,,
7,product 7,a,view product 7,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,70,http://adobedemo.azurewebsites.net/product/chair-red/,16,1.5,,,,,,,,,,,
8,product 8,b,view product 8,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,80,http://adobedemo.azurewebsites.net/product/chair-red/,17,1.5,,,,,,,,,,,
9,product 9,c,view product 9,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,90,http://adobedemo.azurewebsites.net/product/chair-red/,18,1.5,,,,,,,,,,,
10,product 10,a,view product 10,http://adobedemo.azurewebsites.net/target-recs/data/img/product.png,100,http://adobedemo.azurewebsites.net/product/chair-red/,19,1.5,,,,,,,,,,,
